,,,,223
D ata T a b l e 1,Total Renewable Freshwater Supply by Country (2013 Update),,,
,,Annual Renewable,Year of,Source of
Region,Country,Water Resources (km 3/yr),Estimate,Estimate
AFRICA,Algeria,11.6,2005,c
,Angola,148.0,2011,i
,Benin,25.8,2001,j
,Botswana,12.2,2011,i
,Burkina Faso,12.5,2011,i
,Burundi,12.5,2011,i
,Cameroon,285.5,2003,k
,Cape Verde,0.3,2005,c
,Central African Republic,144.4,2005,c
,Chad,43.0,1987,b
,Comoros,1.2,2005,c
,Congo,832.0,1987,b
,"Congo, Democratic Republic",1283,2001,j
,(formerly Zaire),,,
,Côte d’Ivoire,81,2001,j
,Djibouti,0.3,2005,c
,Egypt,57.3,2011,i
,Equatorial Guinea,26,2001,j
,Eritrea,6.3,2001,j
,Ethiopia,122.0,2011,i
,Gabon,164.0,1987,b
,Gambia,8.0,2005,c
,Ghana,53.2,2001,j
,Guinea,226.0,1987,b
,Guinea-Bissau,31.0,2005,c
,Kenya,30.7,2005,c
,Lesotho,3.0,2011,i
,Liberia,232.0,1987,b
,Libya,0.6,2005,c
,Madagascar,337.0,2005,c
,Malawi,17.3,2001,j
,Mali,100.0,2005,c
,Mauritania,11.4,2005,c
,Mauritius,2.8,2005,c
,Morocco,29.0,2005,c
,Mozambique,217.1,2005,c
,Namibia,17.7,2005,c
,Niger,33.7,2005,c
,Nigeria,286.2,2005,c
,Réunion,5.0,1988,k
,Rwanda,9.5,2005,c
,Senegal,38.8,2011,i
,Sierra Leone,160.0,1987,b
,Somalia,14.2,2005,c
,South Africa,51.4,2011,i
,Sudan,64.5,2005,c
,Swaziland,4.5,1987,b
,Tanzania,96.3,2011,i
,,,,continues

224,,,,
D ata T a b l e 1,continued,,,
,,Annual Renewable,Year of,Source of
Region,Country,Water Resources (km 3/yr),Estimate,Estimate
,Togo,14.7,2001,j
,Tunisia,4.6,2005,c
,Uganda,66.0,2005,c
,Zambia,105.2,2001,j
,Zimbabwe,20.0,1987,b
NORTH,Antigua and Barbuda,0.1,2000,h
and,Bahamas,0.0,2011,i
CENTRAL,Barbados,0.1,2003,k
AMERICA,Belize,18.6,2000,h
,Canada,2902.0,2011,i
,Costa Rica,112.4,2000,h
,Cuba,38.1,2000,h
,Dominica,nd,nd,
,Dominican Republic,21.0,2000,h
,El Salvador,25.2,2001,j
,Grenada,nd,nd,
,Guatemala,111.3,2000,h
,Haiti,14.0,2000,h
,Honduras,95.9,2000,h
,Jamaica,9.4,2000,h
,Mexico,457.2,2000,h
,Nicaragua,196.7,2000,h
,Panama,148.0,2000,h
,St. Kitts and Nevis,0.02,2000,h
,Trinidad and Tobago,3.8,2000,h
,United States of America,3069.0,1985,l
SOUTH,Argentina,814.0,2000,h
AMERICA,Bolivia,622.5,2000,h
,Brazil,8233.0,2000,h
,Chile,922.0,2000,h
,Colombia,2132.0,2000,h
,Ecuador,424.0,2011,i
,Guyana,241.0,2000,h
,Paraguay,336.0,2000,h
,Peru,1913.0,2000,h
,Suriname,122.0,2003,k
,Uruguay,139.0,2000,h
,Venezuela,1233.2,2000,h
ASIA,Afghanistan,65.3,2011,i
,Bahrain,0.1,2008,u
,Bangladesh,1227.0,1999,f
,Bhutan,78.0,2011,i
,Brunei,8.5,2011,i
,Cambodia,476.1,1999,f
,China,2738.8,2008,r
,India,1911.0,2011,i
,Indonesia,2019.0,2011,i
,Iran,137.5,2008,u

,,,,225
,Iraq,89.9,2011,i
,Israel,1.8,2008,u
,Japan,430.0,1999,f
,Jordan,0.9,2008,u
,Korea Democratic People’s Republic,77.1,1999,f
,Korea Republic,69.7,1999,f
,Kuwait,0.02,2008,u
,Laos,333.6,2003,k
,Lebanon,4.5,2008,u
,Malaysia,580.0,1999,f
,Maldives,0.03,1999,f
,Mongolia,34.8,1999,f
,Myanmar,1168.0,2011,i
,Nepal,210.2,1999,f
,Oman,1.4,2008,u
,Pakistan,247.0,2011,i
,"Palestinian Territory, Occupied",0.8,2011,i
,Philippines,479.0,1999,f
,Qatar,0.1,2008,u
,Saudi Arabia,2.4,2008,u
,Singapore,0.6,1975,d
,Sri Lanka,52.8,2011,i
,Syria,16.8,2008,u
,Taiwan,67.0,2000,p
,Thailand,438.6,2011,i
,Turkey,211.6,2011,i
,United Arab Emirates,0.2,2008,u
,Vietnam,884.0,2011,i
,Yemen,2.1,2008,u
EUROPE,Albania,41.7,2001,n
,Austria,84.0,2007,s
,Belgium,20.0,2007,s
,Bosnia and Herzegovina,37.5,2003,k
,Bulgaria,107.2,2010,s
,Croatia,105.5,1998,"m, o"
,Cyprus,0.3,2007,s
,Czech Republic,16.0,2007,s
,Denmark,16.3,2007,s
,Estonia,12.3,2007,s
,Finland,110.0,2007,s
,France,186.3,2007,s
,Germany,188.0,2007,s
,Greece,72.0,2007,s
,Hungary,116.4,2007,s
,Iceland,170.0,2007,s
,Ireland,51.0,2013,s
,Italy,175.0,2007,s
,Luxembourg,1.6,2007,s
,Macedonia,6.4,2001,n
,Malta,0.07,2005,s
,Netherlands,89.7,2007,s
,,,,continues

226,,,,
D ata T a b l e 1,continued,,,
,,Annual Renewable,Year of,Source of
Region,Country,Water Resources (km 3/yr),Estimate,Estimate
,Norway,384.0,2013,s
,Poland,63.1,2007,s
,Portugal,73.6,2007,s
,Romania,42.3,2013,s
,Serbia-Montenegro*,208.5,2003,k
,Slovakia,80.3,2013,s
,Slovenia,32.1,2007,s
,Spain,111.1,2007,s
,Sweden,186.2,2013,s
,Switzerland,53.5,2007,s
,United Kingdom,164.0,2013,s
FORMER,Armenia,7.8,2008,u
SOVIET,Azerbaijan,34.7,2008,u
UNION,Belarus,58.0,1997,e
,Estonia,12.8,1997,e
,Georgia,63.3,2008,u
,Kazakhstan,107.5,2011,i
,Kyrgyzstan,23.6,2011,i
,Latvia,33.7,2011,i
,Lithuania,24.5,2007,s
,Moldova,11.7,1997,e
,Russia,4508.0,2011,i
,Tajikistan,21.9,2011,i
,Turkmenistan,24.8,2011,i
