Region,Country,Annual Renewal Water Resources (km 3/yr),Year of Estimate,Source of
AFRICA,Algeria,11.6,2005,c
AFRICA,Angola,148,2011,i
AFRICA,Benin,25.8,2001,j
AFRICA,Botswana,12.2,2011,i
AFRICA,Burkina Faso,12.5,2011,i
AFRICA,Burundi,12.5,2011,i
AFRICA,Cameroon,285.5,2003,k
AFRICA,Cape Verde,0.3,2005,c
AFRICA,Central African Republic,144.4,2005,c
AFRICA,Chad,43,1987,b
AFRICA,Comoros,1.2,2005,c
AFRICA,Congo,832,1987,b
AFRICA,"Congo, Democratic Republic (formerly Zaire)",1283,2001,j
AFRICA,Côte d’Ivoire,81,2001,j
AFRICA,Djibouti,0.3,2005,c
AFRICA,Egypt,57.3,2011,i
AFRICA,Equatorial Guinea,26,2001,j
AFRICA,Eritrea,6.3,2001,j
AFRICA,Ethiopia,122,2011,i
AFRICA,Gabon,164,1987,b
AFRICA,Gambia,8,2005,c
AFRICA,Ghana,53.2,2001,j
AFRICA,Guinea,226,1987,b
AFRICA,Guinea-Bissau,31,2005,c
AFRICA,Kenya,30.7,2005,c
AFRICA,Lesotho,3,2011,i
AFRICA,Liberia,232,1987,b
AFRICA,Libya,0.6,2005,c
AFRICA,Madagascar,337,2005,c
AFRICA,Malawi,17.3,2001,j
AFRICA,Mali,100,2005,c
AFRICA,Mauritania,11.4,2005,c
AFRICA,Mauritius,2.8,2005,c
AFRICA,Morocco,29,2005,c
AFRICA,Mozambique,217.1,2005,c
AFRICA,Namibia,17.7,2005,c
AFRICA,Niger,33.7,2005,c
AFRICA,Nigeria,286.2,2005,c
AFRICA,Réunion,5,1988,k
AFRICA,Rwanda,9.5,2005,c
AFRICA,Senegal,38.8,2011,i
AFRICA,Sierra Leone,160,1987,b
AFRICA,Somalia,14.2,2005,c
AFRICA,South Africa,51.4,2011,i
AFRICA,Sudan,64.5,2005,c
AFRICA,Swaziland,4.5,1987,b
AFRICA,Tanzania,96.3,2011,i
AFRICA,Togo,14.7,2001,j
AFRICA,Tunisia,4.6,2005,c
AFRICA,Uganda,66,2005,c
AFRICA,Zambia,105.2,2001,j
AFRICA,Zimbabwe,20,1987,b
NORTH AND CENTRAL AMERICA,Antigua and Barbuda,0.1,2000,h
NORTH AND CENTRAL AMERICA,Bahamas,0,2011,i
NORTH AND CENTRAL AMERICA,Barbados,0.1,2003,k
NORTH AND CENTRAL AMERICA,Belize,18.6,2000,h
NORTH AND CENTRAL AMERICA,Canada,2902,2011,i
NORTH AND CENTRAL AMERICA,Costa Rica,112.4,2000,h
NORTH AND CENTRAL AMERICA,Cuba ,38.1,2000,h
NORTH AND CENTRAL AMERICA,Dominica,,,
NORTH AND CENTRAL AMERICA,Dominican Republic,21,2000,h
NORTH AND CENTRAL AMERICA,El Salvador,25.2,2001,j
NORTH AND CENTRAL AMERICA,Grenada,,,
NORTH AND CENTRAL AMERICA,Guatemala,111.3,2000,h
NORTH AND CENTRAL AMERICA,Haiti,14,2000,h
NORTH AND CENTRAL AMERICA,Honduras,95.9,2000,h
NORTH AND CENTRAL AMERICA,Jamaica,9.4,2000,h
NORTH AND CENTRAL AMERICA,Mexico,457.2,2000,h
NORTH AND CENTRAL AMERICA,Nicaragua,196.7,2000,h
NORTH AND CENTRAL AMERICA,Panama,148,2000,h
NORTH AND CENTRAL AMERICA,St. Kitts and Nevis,0.02,2000,h
NORTH AND CENTRAL AMERICA,Trinidad and Tobago,3.8,2000,h
NORTH AND CENTRAL AMERICA,United States of America,3069,1985,l
SOUTH AMERICA,Argentina,814,2000,h
SOUTH AMERICA,Bolivia,622.5,2000,h
SOUTH AMERICA,Brazil,8233,2000,h
SOUTH AMERICA,Chile,922,2000,h
SOUTH AMERICA,Colombia,2132,2000,h
SOUTH AMERICA,Ecuador,424,2011,i
SOUTH AMERICA,Guyana,241,2000,h
SOUTH AMERICA,Paraguay,336,2000,h
SOUTH AMERICA,Peru,1913,2000,h
SOUTH AMERICA,Suriname,122,2003,k
SOUTH AMERICA,Uruguay,139,2000,h
SOUTH AMERICA,Venezuela,1233.2,2000,h
ASIA,Afghanistan,65.3,2011,i
ASIA,Bahrain,0.1,2008,u
ASIA,Bangladesh,1227,1999,f
ASIA,Bhutan,78,2011,i
ASIA,Brunei,8.5,2011,i
ASIA,Cambodia,476.1,1999,f
ASIA,China,2738.8,2008,r
ASIA,India,1911,2011,i
ASIA,Indonesia,2019,2011,i
ASIA,Iran,137.5,2008,u
ASIA,Iraq,89.9,2011,i
ASIA,Israel,1.8,2008,u
ASIA,Japan,430,1999,f
ASIA,Jordan,0.9,2008,u
ASIA,Korea Democratic People’s Republic,77.1,1999,f
ASIA,Korea Republic,69.7,1999,f
ASIA,Kuwait,0.02,2008,u
ASIA,Laos,333.6,2003,k
ASIA,Lebanon,4.5,2008,u
ASIA,Malaysia,580,1999,f
ASIA,Maldives,0.03,1999,f
ASIA,Mongolia,34.8,1999,f
ASIA,Myanmar,1168,2011,i
ASIA,Nepal,210.2,1999,f
ASIA,Oman,1.4,2008,u
ASIA,Pakistan,247,2011,i
ASIA,"Palestinian Territory, Occupied",0.8,2011,i
ASIA,Philippines,479,1999,f
ASIA,Qatar,0.1,2008,u
ASIA,Saudi Arabia,2.4,2008,u
ASIA,Singapore,0.6,1975,d
ASIA,Sri Lanka,52.8,2011,i
ASIA,Syria,16.8,2008,u
ASIA,Taiwan,67,2000,p
ASIA,Thailand,438.6,2011,i
ASIA,Turkey,211.6,2011,i
ASIA,United Arab Emirates,0.2,2008,u
ASIA,Vietnam,884,2011,i
ASIA,Yemen,2.1,2008,u
EUROPE,Albania,41.7,2001,n
EUROPE,Austria,84,2007,s
EUROPE,Belgium,20,2007,s
EUROPE,Bosnia and Herzegovina,37.5,2003,k
EUROPE,Bulgaria,107.2,2010,s
EUROPE,Croatia,105.5,1998,"m, o"
EUROPE,Cyprus,0.3,2007,s
EUROPE,Czech Republic,16,2007,s
EUROPE,Denmark,16.3,2007,s
EUROPE,Estonia,12.3,2007,s
EUROPE,Finland,110,2007,s
EUROPE,France,186.3,2007,s
EUROPE,Germany,188,2007,s
EUROPE,Greece,72,2007,s
EUROPE,Hungary,116.4,2007,s
EUROPE,Iceland,170,2007,s
EUROPE,Ireland,51,2013,s
EUROPE,Italy,175,2007,s
EUROPE,Luxembourg,1.6,2007,s
EUROPE,Macedonia,6.4,2001,n
EUROPE,Malta,0.07,2005,s
EUROPE,Netherlands,89.7,2007,s
EUROPE,Norway,384,2013,s
EUROPE,Poland,63.1,2007,s
EUROPE,Portugal,73.6,2007,s
EUROPE,Romania,42.3,2013,s
EUROPE,Serbia-Montenegro*,208.5,2003,k
EUROPE,Slovakia,80.3,2013,s
EUROPE,Slovenia,32.1,2007,s
EUROPE,Spain,111.1,2007,s
EUROPE,Sweden,186.2,2013,s
EUROPE,Switzerland,53.5,2007,s
EUROPE,United Kingdom,164,2013,s
FORMER SOVIET UNION,Armenia,7.8,2008,u
FORMER SOVIET UNION,Azerbaijan,34.7,2008,u
FORMER SOVIET UNION,Belarus,58,1997,e
FORMER SOVIET UNION,Estonia,12.8,1997,e
FORMER SOVIET UNION,Georgia,63.3,2008,u
FORMER SOVIET UNION,Kazakhstan,107.5,2011,i
FORMER SOVIET UNION,Kyrgyzstan,23.6,2011,i
FORMER SOVIET UNION,Latvia,33.7,2011,i
FORMER SOVIET UNION,Lithuania,24.5,2007,s
FORMER SOVIET UNION,Moldova,11.7,1997,e
FORMER SOVIET UNION,Russia,4508,2011,i
FORMER SOVIET UNION,Tajikistan,21.9,2011,i
FORMER SOVIET UNION,Turkmenistan,24.8,2011,i
FORMER SOVIET UNION,Ukraine,139.5,1997,e
FORMER SOVIET UNION,Uzbekistan,48.9,2011,i
OCEANIA,Australia,336.1,2005,t
OCEANIA,Fiji,28.6,1987,b
OCEANIA,New Zealand,397,1995,g
OCEANIA,Papua New Guinea,801,1987,b
OCEANIA,Solomon Islands,44.7,1987,b
OCEANIA,Timor-Leste,8.2,2011,i
