Region,Country,Year,Total Freshwater Withdrawal (km 3/yr),Per Capita Withdrawal (m 3/p/yr),Domestic Use (%),Industrial Use (%),Agricultural Use (%),Domestic Use m3/p/yr,Industrial Use (m3/p/yr),Agricultural Use (m3/p/yr),Source,2010 Population (millions)
AFRICA,Algeria,2001,5.7,161,24,15,61,39,24,98,f,35.42
AFRICA,Angola,2005,0.7,37,45,34,21,17,13,8,f,18.99
AFRICA,Benin,2001,0.13,14,32,23,45,5,3,6,f,9.21
AFRICA,Botswana,2000,0.19,96,41,18,41,39,17,39,f,1.98
AFRICA,Burkina Faso,2001,0.72,44,39,2,59,17,1,26,f,16.29
AFRICA,Burundi,2000,0.29,34,17,6,77,6,2,26,f,8.52
AFRICA,Cameroon,2000,0.97,49,17,7,76,8,3,37,f,19.96
AFRICA,Cape Verde,2000,0.02,39,7,2,91,3,1,36,f,0.51
AFRICA,Central African Republic,2005,0.07,16,83,17,1,13,3,0,f,4.51
AFRICA,Chad,2005,0.88,76,12,12,76,9,9,58,f,11.51
AFRICA,Comoros,1999,0.01,14,48,5,47,7,1,7,f,0.69
AFRICA,"Congo, Democratic Republic",2005,0.68,10,68,21,11,7,2,1,f,67.83
AFRICA,"Congo, Republic of",2000,0.05,13,70,22,9,9,3,1,f,3.76
AFRICA,Côte d’Ivoire,2005,1.5,70,41,21,38,29,15,26,f,21.57
AFRICA,Djibouti,2000,0.02,23,84,0,16,19,0,4,f,0.88
AFRICA,Egypt,2000,68.3,809,8,6,86,62,49,695,f,84.47
AFRICA,Equatorial Guinea,2000,0.02,29,79,15,6,23,4,2,f,0.69
AFRICA,Eritrea,2004,0.58,111,5,0,95,6,0,105,f,5.22
AFRICA,Ethiopia,2002,5.6,66,6,0,94,4,0,62,f,84.98
AFRICA,Gabon,2005,0.14,93,61,10,29,57,9,27,f,1.5
AFRICA,Gambia,2000,0.09,51,38,19,43,20,10,22,f,1.75
AFRICA,Ghana,2000,0.98,40,24,10,66,10,4,27,f,24.33
AFRICA,Guinea,2001,0.55,53,38,9,53,20,5,28,f,10.32
AFRICA,Guinea-Bissau,2000,0.18,109,13,5,82,14,5,90,f,1.65
AFRICA,Kenya,2003,2.74,67,17,4,79,11,2,53,f,40.86
AFRICA,Lesotho,2000,0.04,19,46,46,9,9,9,2,f,2.08
AFRICA,Liberia,2000,0.13,32,54,36,9,17,11,3,f,4.1
AFRICA,Libya,2000,4.3,657,14,3,83,92,20,545,f,6.55
AFRICA,Madagascar,2000,16.5,819,1,1,98,8,8,803,f,20.15
AFRICA,Malawi,2005,1.4,89,11,4,86,10,4,77,f,15.69
AFRICA,Mali,2000,6.5,488,9,1,90,44,5,439,f,13.32
AFRICA,Mauritania,2005,1.4,416,7,2,91,29,8,379,f,3.37
AFRICA,Mauritius,2003,0.73,563,30,3,68,169,17,383,f,1.3
AFRICA,Morocco,2000,12.6,389,10,3,87,39,12,339,f,32.38
